country_code,country,income_level
AFG,Afghanistan,L
ALB,Albania,LM
DZA,Algeria,UM
ASM,American Samoa,UM
AND,Andorra,H
AGO,Angola,LM
ATG,Antigua and Barbuda,H
ARG,Argentina,UM
ARM,Armenia,LM
ABW,Aruba,H
AUS,Australia,H
AUT,Austria,H
AZE,Azerbaijan,UM
BHS,"Bahamas, The",H
BHR,Bahrain,H
BGD,Bangladesh,L
BRB,Barbados,H
BLR,Belarus,UM
BEL,Belgium,H
BLZ,Belize,UM
BEN,Benin,L
BMU,Bermuda,H
BTN,Bhutan,LM
BOL,Bolivia,LM
BIH,Bosnia and Herzegovina,UM
BWA,Botswana,UM
BRA,Brazil,UM
VGB,British Virgin Islands,H
BRN,Brunei Darussalam,H
BGR,Bulgaria,UM
BFA,Burkina Faso,L
BDI,Burundi,L
CPV,Cabo Verde,LM
KHM,Cambodia,L
CMR,Cameroon,LM
CAN,Canada,H
CYM,Cayman Islands,H
CAF,Central African Republic,L
TCD,Chad,L
CHI,Channel Islands,H
CHL,Chile,UM
CHN,China,LM
COL,Colombia,UM
COM,Comoros,L
COD,"Congo, Dem. Rep.",L
COG,"Congo, Rep.",LM
CRI,Costa Rica,UM
CIV,Côte d'Ivoire,LM
HRV,Croatia,H
CUB,Cuba,UM
CUW,Curaçao,H
CYP,Cyprus,H
CZE,Czech Republic,H
DNK,Denmark,H
DJI,Djibouti,LM
DMA,Dominica,UM
DOM,Dominican Republic,UM
ECU,Ecuador,LM
EGY,"Egypt, Arab Rep.",LM
SLV,El Salvador,LM
GNQ,Equatorial Guinea,H
ERI,Eritrea,L
EST,Estonia,H
ETH,Ethiopia,L
FRO,Faeroe Islands,H
FJI,Fiji,UM
FIN,Finland,H
FRA,France,H
PYF,French Polynesia,H
GAB,Gabon,UM
GMB,"Gambia, The",L
GEO,Georgia,LM
DEU,Germany,H
GHA,Ghana,L
GIB,Gibraltar,H
GRC,Greece,H
GRL,Greenland,H
GRD,Grenada,UM
GUM,Guam,H
GTM,Guatemala,LM
GIN,Guinea,L
GNB,Guinea-Bissau,L
GUY,Guyana,LM
HTI,Haiti,L
HND,Honduras,LM
HKG,"Hong Kong SAR, China",H
HUN,Hungary,H
ISL,Iceland,H
IND,India,LM
IDN,Indonesia,LM
IRN,"Iran, Islamic Rep.",UM
IRQ,Iraq,LM
IRL,Ireland,H
IMN,Isle of Man,H
ISR,Israel,H
ITA,Italy,H
JAM,Jamaica,UM
JPN,Japan,H
JOR,Jordan,LM
KAZ,Kazakhstan,UM
KEN,Kenya,L
KIR,Kiribati,LM
PRK,"Korea, Dem. Rep.",LM
KOR,"Korea, Rep.",H
XKX,Kosovo,LM
KWT,Kuwait,H
KGZ,Kyrgyz Republic,L
LAO,Lao PDR,L
LVA,Latvia,UM
LBN,Lebanon,UM
LSO,Lesotho,LM
LBR,Liberia,L
LBY,Libya,UM
LIE,Liechtenstein,H
LTU,Lithuania,UM
LUX,Luxembourg,H
MAC,"Macao SAR, China",H
MKD,"Macedonia, FYR",UM
MDG,Madagascar,L
MWI,Malawi,L
MYS,Malaysia,UM
MDV,Maldives,LM
MLI,Mali,L
MLT,Malta,H
MHL,Marshall Islands,LM
MRT,Mauritania,L
MUS,Mauritius,UM
MEX,Mexico,UM
FSM,"Micronesia, Fed. Sts.",LM
MDA,Moldova,LM
MCO,Monaco,H
MNG,Mongolia,LM
MNE,Montenegro,UM
MAR,Morocco,LM
MOZ,Mozambique,L
MMR,Myanmar,L
NAM,Namibia,UM
NRU,Nauru,UM
NPL,Nepal,L
NLD,Netherlands,H
NCL,New Caledonia,H
NZL,New Zealand,H
NIC,Nicaragua,LM
NER,Niger,L
NGA,Nigeria,LM
MNP,Northern Mariana Islands,H
NOR,Norway,H
OMN,Oman,H
PAK,Pakistan,LM
PLW,Palau,UM
PAN,Panama,UM
PNG,Papua New Guinea,LM
PRY,Paraguay,LM
PER,Peru,UM
PHL,Philippines,LM
POL,Poland,H
PRT,Portugal,H
PRI,Puerto Rico,H
QAT,Qatar,H
ROU,Romania,UM
RUS,Russian Federation,UM
RWA,Rwanda,L
WSM,Samoa,LM
SMR,San Marino,H
STP,São Tomé and Principe,LM
SAU,Saudi Arabia,H
SEN,Senegal,LM
SRB,Serbia,UM
SYC,Seychelles,UM
SLE,Sierra Leone,L
SGP,Singapore,H
SXM,Sint Maarten (Dutch part),H
SVK,Slovak Republic,H
SVN,Slovenia,H
SLB,Solomon Islands,LM
SOM,Somalia,L
ZAF,South Africa,UM
SSD,South Sudan,L
ESP,Spain,H
LKA,Sri Lanka,LM
KNA,St. Kitts and Nevis,UM
LCA,St. Lucia,UM
MAF,St. Martin (French part),H
VCT,St. Vincent and the Grenadines,UM
SDN,Sudan,LM
SUR,Suriname,UM
SWZ,Swaziland,LM
SWE,Sweden,H
CHE,Switzerland,H
SYR,Syrian Arab Republic,LM
TWN,"Taiwan, China",H
TJK,Tajikistan,L
TZA,Tanzania,L
THA,Thailand,LM
TLS,Timor-Leste,LM
TGO,Togo,L
TON,Tonga,LM
TTO,Trinidad and Tobago,H
TUN,Tunisia,LM
TUR,Turkey,UM
TKM,Turkmenistan,LM
TCA,Turks and Caicos Islands,H
TUV,Tuvalu,UM
UGA,Uganda,L
UKR,Ukraine,LM
ARE,United Arab Emirates,H
GBR,United Kingdom,H
USA,United States,H
URY,Uruguay,UM
UZB,Uzbekistan,LM
VUT,Vanuatu,LM
VEN,"Venezuela, RB",UM
VNM,Vietnam,LM
VIR,Virgin Islands (U.S.),H
PSE,West Bank and Gaza,LM
YEM,"Yemen, Rep.",LM
ZMB,Zambia,L
ZWE,Zimbabwe,L
