Series.Code	Indicator	Target	Goal
"NY_GDP_PCAP_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	8.1.1	8.1	8
"SL_EMP_PCAP_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	8.2.1	8.2	8
"SL_ISV_IFRM_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	8.3.1	8.3	8
"SL_ISV_IFRM_All.age.ranges.or.no.breakdown.by.age_Female"	8.3.2	8.3	8
"SL_ISV_IFRM_All.age.ranges.or.no.breakdown.by.age_Male"	8.3.3	8.3	8
"EN_MAT_DOMCMPC_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	8.4.1	8.4	8
"EN_MAT_DOMCMPG_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	8.4.2	8.4	8
"EN_MAT_DOMCMPT_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	8.4.3	8.4	8
"SL_EMP_EARN08_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	8.5.1	8.5	8
"SL_EMP_EARN08_All.age.ranges.or.no.breakdown.by.age_Female"	8.5.2	8.5	8
"SL_EMP_EARN08_All.age.ranges.or.no.breakdown.by.age_Male"	8.5.3	8.5	8
"SL_EMP_EARN08_0_All.age.ranges.or.no.breakdown.by.age_Male"	8.5.4	8.5	8
"SL_EMP_EARN08_0_All.age.ranges.or.no.breakdown.by.age_Female"	8.5.5	8.5	8
"SL_EMP_EARN08_0_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	8.5.6	8.5	8
"SL_EMP_EARN08_1_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	8.5.7	8.5	8
"SL_EMP_EARN08_1_All.age.ranges.or.no.breakdown.by.age_Female"	8.5.8	8.5	8
"SL_EMP_EARN08_1_All.age.ranges.or.no.breakdown.by.age_Male"	8.5.9	8.5	8
"SL_EMP_EARN08_10_All.age.ranges.or.no.breakdown.by.age_Female"	8.5.10	8.5	8
"SL_EMP_EARN08_2_All.age.ranges.or.no.breakdown.by.age_Male"	8.5.11	8.5	8
"SL_EMP_EARN08_2_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	8.5.12	8.5	8
"SL_EMP_EARN08_2_All.age.ranges.or.no.breakdown.by.age_Female"	8.5.13	8.5	8
"SL_EMP_EARN08_3_All.age.ranges.or.no.breakdown.by.age_Male"	8.5.14	8.5	8
"SL_EMP_EARN08_3_All.age.ranges.or.no.breakdown.by.age_Female"	8.5.15	8.5	8
"SL_EMP_EARN08_3_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	8.5.16	8.5	8
"SL_EMP_EARN08_4_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	8.5.17	8.5	8
"SL_EMP_EARN08_4_All.age.ranges.or.no.breakdown.by.age_Male"	8.5.18	8.5	8
"SL_EMP_EARN08_4_All.age.ranges.or.no.breakdown.by.age_Female"	8.5.19	8.5	8
"SL_EMP_EARN08_5_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	8.5.20	8.5	8
"SL_EMP_EARN08_5_All.age.ranges.or.no.breakdown.by.age_Male"	8.5.21	8.5	8
"SL_EMP_EARN08_5_All.age.ranges.or.no.breakdown.by.age_Female"	8.5.22	8.5	8
"SL_EMP_EARN08_6_All.age.ranges.or.no.breakdown.by.age_Male"	8.5.23	8.5	8
"SL_EMP_EARN08_6_All.age.ranges.or.no.breakdown.by.age_Female"	8.5.24	8.5	8
"SL_EMP_EARN08_6_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	8.5.25	8.5	8
"SL_EMP_EARN08_7_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	8.5.26	8.5	8
"SL_EMP_EARN08_7_All.age.ranges.or.no.breakdown.by.age_Female"	8.5.27	8.5	8
"SL_EMP_EARN08_7_All.age.ranges.or.no.breakdown.by.age_Male"	8.5.28	8.5	8
"SL_EMP_EARN08_8_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	8.5.29	8.5	8
"SL_EMP_EARN08_8_All.age.ranges.or.no.breakdown.by.age_Female"	8.5.30	8.5	8
"SL_EMP_EARN08_8_All.age.ranges.or.no.breakdown.by.age_Male"	8.5.31	8.5	8
"SL_EMP_EARN08_9_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	8.5.32	8.5	8
